Comission;Voters;Com_Ballots;Home_Ballots;Home_B_Box;Com_B_Box;Invalid;Rodina;Kommunisty_Rossii;Pensionery;United_Russia;Zelenye;Civic_Platform;LDPR;PARNAS;Partiia_Rosta;Civic_Power;YABLOKO;KPRF;Patriots_of_Russia;A_Just_Russia
”»  π16;1496†;1425†;7†;7†;1425†;1†;0.0028;0.0084;0.0007;0.9658;0.0063;0.0007;0.0000;0.0000;0.0028;0.0007;0.0000;0.0000;0.0007;0.0105
”»  π17;1349†;1236†;8†;8†;1236†;1†;0.0024;0.0024;0.0024;0.9735;0.0056;0.0000;0.0000;0.0000;0.0024;0.0008;0.0000;0.0016;0.0000;0.0080
”»  π18;1762†;1651†;11†;11†;1651†;1†;0.0054;0.0054;0.0006;0.9705;0.0054;0.0000;0.0006;0.0000;0.0006;0.0000;0.0006;0.0000;0.0006;0.0096
”»  π19;1619†;1530†;9†;9†;1530†;1†;0.0019;0.0091;0.0013;0.9701;0.0052;0.0006;0.0000;0.0000;0.0026;0.0006;0.0000;0.0000;0.0000;0.0078
”»  π20;1901†;1730†;10†;10†;1730†;1†;0.0011;0.0161;0.0000;0.9644;0.0052;0.0000;0.0000;0.0000;0.0011;0.0006;0.0000;0.0006;0.0011;0.0092
”»  π21;2117†;1953†;12†;12†;1953†;1†;0.0036;0.0081;0.0005;0.9628;0.0087;0.0000;0.0005;0.0000;0.0005;0.0000;0.0010;0.0000;0.0000;0.0137
”»  π22;1451†;1346†;11†;11†;1346†;1†;0.0022;0.0125;0.0007;0.9609;0.0103;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0007;0.0000;0.0118
”»  π23;1978†;1828†;13†;13†;1828†;1†;0.0027;0.0071;0.0000;0.9576;0.0087;0.0000;0.0000;0.0000;0.0033;0.0016;0.0000;0.0000;0.0000;0.0185
”»  π24;2992†;2875†;14†;14†;2875†;1†;0.0024;0.0087;0.0031;0.9585;0.0059;0.0003;0.0003;0.0000;0.0035;0.0007;0.0003;0.0000;0.0010;0.0149
”»  π25;2559†;2408†;11†;11†;2408†;1†;0.0037;0.0074;0.0029;0.9665;0.0074;0.0000;0.0000;0.0000;0.0008;0.0017;0.0000;0.0000;0.0000;0.0091
”»  π26;1761†;1629†;12†;12†;1629†;1†;0.0030;0.0091;0.0000;0.9604;0.0085;0.0000;0.0000;0.0000;0.0006;0.0000;0.0006;0.0000;0.0012;0.0158
”»  π27;2394†;2196†;11†;11†;2196†;1†;0.0005;0.0059;0.0014;0.9588;0.0082;0.0000;0.0000;0.0000;0.0014;0.0000;0.0000;0.0000;0.0000;0.0236
”»  π28;2965†;2780†;13†;13†;2780†;1†;0.0014;0.0093;0.0004;0.9599;0.0093;0.0007;0.0000;0.0000;0.0021;0.0011;0.0004;0.0011;0.0004;0.0136
”»  π29;917†;837†;5†;5†;837†;0†;0.0012;0.0214;0.0000;0.9513;0.0095;0.0000;0.0000;0.0000;0.0000;0.0012;0.0000;0.0000;0.0012;0.0143
”»  π30;1039†;964†;4†;4†;964†;0†;0.0021;0.0134;0.0041;0.9649;0.0041;0.0010;0.0000;0.0000;0.0021;0.0000;0.0000;0.0021;0.0000;0.0062
”»  π31;1144†;1068†;4†;4†;1068†;1†;0.0037;0.0149;0.0009;0.9552;0.0065;0.0000;0.0000;0.0000;0.0037;0.0009;0.0000;0.0000;0.0009;0.0121
”»  π32;321†;296†;1†;1†;296†;0†;0.0067;0.0438;0.0067;0.9293;0.0000;0.0000;0.0000;0.0000;0.0034;0.0034;0.0000;0.0067;0.0000;0.0000
”»  π33;2425†;2267†;9†;9†;2267†;1†;0.0013;0.0088;0.0004;0.9728;0.0044;0.0004;0.0000;0.0000;0.0022;0.0009;0.0000;0.0004;0.0000;0.0079
”»  π34;1055†;983†;14†;14†;983†;1†;0.0020;0.0160;0.0000;0.9589;0.0060;0.0010;0.0000;0.0000;0.0020;0.0010;0.0000;0.0000;0.0010;0.0110
”»  π35;749†;723†;8†;8†;723†;0†;0.0041;0.0137;0.0000;0.9494;0.0150;0.0000;0.0014;0.0000;0.0041;0.0014;0.0000;0.0000;0.0014;0.0096
