idno;cntry;nwspol;netusoft;netustm;ppltrst;pplfair;pplhlp;polintr;psppsgva;actrolga;psppipla;cptppola;trstprl;trstlgl;trstplc;trstplt;trstprt;trstep;trstun;vote;contplt;wrkprty;wrkorg;badge;sgnptit;pbldmn;bctprd;pstplonl;clsprty;prtdgcl;lrscale;stflife;stfeco;stfgov;stfdem;stfedu;stfhlth;gincdif;mnrgtjb;freehms;hmsfmlsh;hmsacld;euftf;imsmetn;imdfetn;impcntr;imbgeco;imueclt;imwbcnt;happy;sclmeet;inprdsc;sclact;crmvct;aesfdrk;health;hlthhmp;atchctr;atcherp;hinctnta;hincfel;Random;
1438;LT;120;4;120;6;6;6;3;2;2;2;1;5;5;5;5;5;7;6;1;2;2;2;2;2;2;2;2;2;6;6;6;6;6;6;6;6;2;3;3;3;4;6;2;2;2;6;6;7;6;3;1;3;2;2;2;3;5;3;8;1;0,441692808;
2041;HU;10;4;60;4;4;5;3;3;2;2;3;6;6;7;6;6;7;6;1;2;2;2;2;2;2;2;2;7;6;77;7;6;7;6;5;4;2;2;5;2;5;5;3;8;7;3;6;5;7;4;2;3;2;3;2;3;4;5;77;7;0,131222326;
2656;NO;50;5;120;7;8;6;4;3;3;4;2;8;8;10;6;6;8;10;1;2;2;2;1;2;2;2;1;1;3;5;9;7;7;8;8;10;1;5;1;5;1;6;3;3;3;4;6;8;8;7;4;3;2;2;2;3;10;8;10;1;0,335845891;
365;BE;0;1;6666;5;3;8;2;3;1;3;1;5;88;10;10;0;0;0;2;2;2;1;2;2;2;2;2;1;1;0;10;9;10;9;9;10;1;1;1;5;1;7;1;1;1;10;10;10;10;7;5;5;2;1;2;1;10;10;10;2;0,277786816;
10945;FI;90;5;300;6;7;6;2;2;2;2;2;7;7;8;5;5;4;8;1;2;2;2;2;1;2;2;2;1;2;7;8;5;6;5;5;4;2;4;3;4;4;4;2;3;3;7;8;8;8;4;4;1;2;2;2;3;9;7;9;2;0,773931621;
2441;ES;60;1;6666;4;3;3;3;3;1;2;2;4;9;9;4;4;88;88;1;2;2;2;2;2;2;2;2;1;3;4;6;3;2;5;4;5;2;4;2;5;1;88;3;3;3;3;3;2;4;4;2;2;1;3;3;2;9;1;5;3;0,525028324;
950;IL;30;5;120;5;5;4;4;1;1;1;1;1;1;5;5;5;0;0;3;2;2;2;2;2;2;2;2;2;6;88;6;5;6;8;8;8;4;3;1;2;2;7;1;1;2;9;8;8;6;5;2;3;2;1;1;3;5;1;1;2;0,259655303;
4310;IS;90;1;6666;10;10;7;1;5;1;4;1;5;6;8;6;6;5;9;2;2;2;2;2;2;2;2;2;2;6;2;8;7;4;7;4;7;1;4;2;4;7;0;7;3;3;6;7;6;10;6;5;3;2;2;1;3;10;7;3;1;0,898311362;
2445;HU;30;1;6666;0;6;8;4;1;1;2;1;5;7;8;2;2;5;5;2;2;2;2;2;2;2;2;2;2;6;6;5;5;5;7;88;0;1;5;5;1;5;5;4;4;4;4;2;5;6;7;1;2;2;2;4;2;10;5;1;3;0,385835878;
400;LT;70;4;50;7;7;4;1;2;4;2;4;5;4;7;3;0;8;5;1;2;2;2;2;2;2;2;2;2;6;6;5;5;5;7;3;6;1;3;7;7;5;6;1;4;3;7;5;4;6;3;2;3;1;3;2;3;9;7;9;2;0,486024795;
5839;PL;40;1;6666;3;5;5;3;1;8;1;8;0;0;5;5;0;0;5;2;2;2;2;2;2;2;2;2;2;6;3;6;1;0;0;1;5;1;1;2;5;2;2;1;1;1;3;5;5;5;1;1;1;2;3;3;2;10;5;77;2;0,17620101;
2578;CZ;8888;5;180;6;7;7;3;2;3;2;2;6;7;7;5;5;4;3;1;2;2;2;2;2;2;2;2;2;6;6;9;8;7;8;8;8;4;4;1;5;2;8;3;2;2;7;4;4;8;4;2;8;2;3;1;3;8;8;3;3;0,346540488;
3061;FR;45;5;120;7;10;5;3;2;1;1;1;7;8;8;5;5;8;8;1;2;1;2;2;2;1;2;2;1;3;0;5;3;3;3;3;4;2;5;1;5;5;7;2;3;3;5;3;5;8;5;4;3;2;1;2;3;8;8;7;2;0,788311509;
1715;CH;15;4;20;3;4;6;2;4;3;4;3;5;4;4;3;5;6;6;1;2;2;2;2;1;2;1;1;1;3;7;7;7;7;8;8;6;2;3;1;4;3;5;8;8;8;7;7;88;9;6;3;1;1;2;2;3;9;8;6;2;0,809011743;
3291;IT;60;1;6666;3;3;8;4;1;1;1;1;0;88;5;0;0;0;0;1;2;2;2;2;2;2;2;2;2;6;77;8;7;4;4;3;0;4;3;2;7;5;0;1;1;2;7;6;7;8;6;1;3;2;1;3;3;8;88;3;2;0,073655953;
2599;HU;0;1;6666;5;8;3;3;1;1;1;2;2;6;6;2;4;4;7;1;2;2;2;2;2;2;2;2;1;1;0;3;6;0;3;88;0;1;2;8;5;8;1;2;4;4;1;9;0;3;2;5;3;2;2;5;2;10;10;4;3;0,012675882;
3838;FR;90;4;120;5;5;2;3;2;1;1;2;5;3;6;0;3;3;5;1;2;2;2;2;1;2;1;2;2;6;7;8;3;3;3;3;3;2;5;1;5;2;4;2;2;2;3;8;6;8;7;2;2;2;2;2;3;8;7;3;2;0,364538793;
1114;FR;120;1;6666;2;5;5;4;1;1;1;1;2;0;5;0;0;0;0;1;2;2;2;2;2;2;1;2;2;6;5;4;2;0;2;7;3;5;2;1;4;5;5;4;4;3;5;3;5;7;2;2;2;2;4;3;3;8;2;1;3;0,815693632;
160699;PT;60;5;120;1;1;1;3;2;3;4;3;3;4;0;5;4;5;4;2;2;1;2;1;1;1;2;2;2;6;88;10;5;6;7;3;6;2;5;1;5;3;10;2;2;3;5;8;5;10;7;1;3;2;1;5;1;3;0;6;2;0,684588069;
13067;FI;30;5;60;8;7;7;2;3;2;3;3;5;8;8;5;4;2;5;1;2;2;2;2;2;2;1;2;2;6;7;8;4;3;6;7;8;2;5;4;3;5;0;2;2;2;5;8;5;8;5;1;2;2;1;2;3;8;2;2;2;0,834404697;
1300;IE;45;2;6666;7;7;6;2;1;2;2;2;4;7;4;0;0;0;4;1;2;2;2;2;2;2;2;2;2;6;7;7;6;4;88;10;3;1;4;2;4;4;0;4;4;4;4;5;5;7;3;1;2;2;1;1;3;10;0;1;4;0,182653722;
