N_reg;Region;urbanpopulation;internet;transfers;democracy_index;reg_disttomoscow;reg_tempjan;reg_ur2011;reg_kdshare;reg_mincome;reg_levelofunempl;reg_heductoempd;reg_pop1jan;reg_alcvodka;reg_alcbeer;reg_mobile;reg_grp;ethnic;turnout_2011;turnout_2016;protest_events;reg_ur2016;media2017
69;Tver;74,9;58,1;11428,6;34;167;-7,6;38,44;23,23;17282;5;22,7;1342200;15;66,5;2317,7;267639;0;53,5;41,6;30;0,45;1
70;Tomsk;71,2;63,5;10413,6;34;3500;-21,1;37,51;22,39;18027;8,4;31,3;1057748;12,5;46,4;1271,8;374171,6;0;50,5;33,9;45;0,4067;2
71;Tula;78,8;50,9;11216,8;30;193;-7,4;61,32;15,07;19340;4,6;26,6;1544545;9,5;51,5;2312,1;309295;0;72,8;45,6;10;0,5302;2
72;Tyumen;78,9;73,1;26992,8;32;2144;-18,7;62,21;11,74;33473;5,2;29,2;3459438;12,9;86,6;6154;4618711;0;76,2;81,1;27;0,5835;2
73;Ulyanovsk;74;55,3;11523,3;29;893;-10,7;43,56;23,09;16375;5,6;27,2;1282094;7,3;54,9;2312,1;244229,8;0;60,4;52,4;73;0,4846;1
74;Chelyabinsk;82,2;65,6;24355,6;36;1919;-16,5;50,28;14,63;19816;6,4;28,2;3480142;11,5;85,8;5897,9;843339,4;0;59,7;44,4;113;0,3819;2
75;Zabaikalskii krai;66,8;50,5;17987,3;27;6074;-29,6;43,28;18,64;17546;10,6;21,9;1099396;13,7;66,8;1429,6;225504,2;0;53,6;38,9;33;0,3987;1
76;Yaroslavl;81,9;58,1;8861,5;38;282;-9,7;29,04;23,99;18605;3,4;23,5;1271030;13,2;91,3;2141,6;324572,1;0;55,9;37,8;28;0,3843;2
77;Moscow;98,9;79,1;86535;30;0;-7,4;46,62;19,36;48935;0,8;49,3;11856578;16,9;91,3;39688,8;10577810,2;0;61,7;35,3;1691;0,3776;3
78;Saint Petersburg;100;78;46761,7;41;651;-6,3;35,37;15,33;27834;1,1;44,6;4953219;9,7;162,4;13906,3;2291992,9;0;55,2;32,7;600;0,3971;3
79;Jewish AO;67,9;55,2;4944,6;23;8361;-22,8;48,11;19,8;18450;8,5;18;174412;12,8;59,8;226,7;42450,8;1;52,1;39,6;2;0,4503;1
83;Nenets AO;70;53,5;3238,4;29;2230;-11,9;36,04;24,8;62323;6,9;17,7;42437;24,1;33,2;1133,5;163678,6;1;56,1;44,8;0;0,4111;2
86;Khanty-Mansiiskii AO;91,8;79,2;10261,8;32;2759;-19,2;41,01;16,1;36345;5,5;30,1;1561238;13,6;73,7;2801,2;2686074,8;1;54,9;39,3;12;0,4761;3
87;Chukotskii AO;66,7;71,8;5979,3;18;8635;-25,6;70,32;6,7;48533;4,3;24,6;50988;3,8;7,8;54,6;48851,5;1;79,1;64,5;0;0,588;1
89;Yamalo-Nenets AO;83,8;68;17615,2;29;2436;-19,3;71,68;6,56;52585;3,4;35,6;536558;;;1133,5;1192229,6;1;82,2;74,4;3;0,6714;2
95;Chechnya;34,8;23,6;66652,7;17;2007;-3,7;99,48;0,09;15274;29,8;24,8;1302165;0;0;1333,7;103677,4;1;99,5;94,9;5;0,9629;0
