"","clmt_binary","age","gndr","lr_scale","Age"
"1207",NA,"36-50","Female",0,50
"1208",NA,"36-50","Male",2,49
"1209",0,"50-65","Female",NA,62
"1210",0,"36-50","Male",NA,43
"1211",1,"50-65","Female",4,61
"1212",1,"36-50","Female",2,49
"1213",1,"25-35","Male",0,31
"1214",1,"36-50","Female",0,38
"1215",1,"18-24","Female",0,18
"1216",1,"36-50","Female",NA,37
"1217",NA,"25-35","Male",NA,32
"1218",1,"> 65","Female",0,70
"1219",1,"36-50","Female",-2,46
"1220",1,"36-50","Female",NA,38
"1221",1,"36-50","Female",NA,38
"1222",1,"25-35","Female",0,25
"1223",1,"18-24","Male",0,20
"1224",1,"25-35","Male",0,27
"1225",1,"36-50","Female",-3,39
"1226",1,"25-35","Female",NA,32
"1227",1,"25-35","Male",0,33
"1228",1,"18-24","Female",0,24
"1229",1,"36-50","Female",NA,42
"1230",1,"25-35","Female",NA,25
"1231",1,"50-65","Female",NA,60
"1232",1,"18-24","Female",NA,19
"1233",0,"36-50","Male",0,42
"1234",0,"18-24","Male",0,16
"1235",0,"36-50","Male",0,47
"1236",1,"36-50","Male",0,38
"1237",1,"18-24","Female",0,20
"1238",0,"18-24","Male",0,16
"1239",1,"36-50","Female",0,36
"1240",0,"18-24","Male",0,17
"1241",1,"50-65","Female",NA,57
"1242",1,"25-35","Male",0,27
"1243",1,"25-35","Female",NA,34
"1244",1,"18-24","Female",NA,16
"1245",1,"36-50","Male",NA,39
"1246",1,"25-35","Male",NA,30
"1247",1,"> 65","Male",NA,77
"1248",1,"36-50","Female",NA,40
"1249",1,"50-65","Female",0,58
"1250",1,"18-24","Female",NA,21
"1251",1,"18-24","Female",1,17
"1252",NA,"50-65","Female",5,59
"1253",1,"36-50","Female",0,45
"1254",1,"18-24","Male",NA,19
"1255",1,"18-24","Male",0,17
"1256",1,"18-24","Male",0,16
"1257",1,"18-24","Female",-2,24
"1258",1,"36-50","Male",NA,42
"1259",1,"25-35","Male",0,27
"1260",1,"18-24","Female",NA,17
"1261",1,"18-24","Female",NA,18
"1262",1,"18-24","Female",NA,17
"1263",1,"25-35","Male",NA,26
"1264",1,"18-24","Female",0,17
"1265",1,"18-24","Male",NA,15
"1266",1,"36-50","Female",NA,40
"1267",1,"25-35","Female",-1,31
"1268",1,"25-35","Male",0,26
"1269",0,"18-24","Female",0,15
"1270",1,"25-35","Male",NA,28
"1271",1,"50-65","Female",-1,61
"1272",1,"50-65","Female",1,56
"1273",1,"25-35","Female",5,28
"1274",1,"36-50","Female",0,48
"1275",1,"50-65","Female",3,61
"1276",1,"50-65","Female",0,55
"1277",1,"36-50","Male",0,43
"1278",1,"18-24","Male",0,16
"1279",1,"25-35","Male",2,28
"1280",1,"25-35","Male",1,30
"1281",1,"18-24","Male",1,22
"1282",1,"25-35","Female",NA,35
"1283",1,"50-65","Female",NA,51
"1284",1,"50-65","Female",2,51
"1285",NA,"36-50","Female",0,44
"1286",1,"36-50","Female",2,48
"1287",NA,"25-35","Male",0,26
"1288",1,"> 65","Female",NA,79
"1289",1,"50-65","Female",0,51
"1290",1,"50-65","Female",0,56
"1291",1,"18-24","Male",0,24
"1292",1,"50-65","Male",0,53
"1293",1,"36-50","Female",0,44
"1294",1,"50-65","Male",NA,51
"1295",1,"50-65","Female",NA,52
"1296",0,"18-24","Male",0,15
