"","year","region","wine","beer","vodka","champagne","brandy","district"
"184",2000,"Republic of Dagestan",3.8,1.8,1,0.2,0.1,"North Caucasian"
"185",2000,"Jewish Autonomous Oblast",4.8,13.4,12.2,0.5,0.1,"Far Eastern"
"186",2000,"Zabaykalsky Krai",1.9,16.4,7,0.3,0.1,"Far Eastern"
"187",2000,"Ivanovo Oblast",2.5,47.5,14.2,0.2,0.1,"Central"
"188",2000,"Republic of Ingushetia",NA,NA,NA,NA,NA,"North Caucasian"
"189",2000,"Irkutsk Oblast",6,39.4,15.5,1.3,0.5,"Siberian"
"190",2000,"Kabardino-Balkar Republic",2.5,17.3,10.5,0.6,0.4,"North Caucasian"
"191",2000,"Kaliningrad Oblast",3.2,38.4,15.8,1.3,0.8,"Northwestern"
"192",2000,"Republic of Kalmykia",3.2,9.1,14.2,0.9,0.1,"Southern"
"193",2000,"Kaluga Oblast",2.2,30.4,9,0.6,0.2,"Central"
"194",2000,"Kamchatka Krai",7.1,32.7,26.6,0.8,0.4,"Far Eastern"
"195",2000,"Karachay-Cherkess Republic",2.2,7.4,12.9,0.2,0.1,"North Caucasian"
"196",2000,"Republic of Karelia",2.8,24.9,17.2,0.4,0.2,"Northwestern"
"197",2000,"Kemerovo Oblast",2.3,26.6,17.3,0.6,0.2,"Siberian"
"198",2000,"Kirov Oblast",1.8,15.5,12.8,0.3,0.1,"Volga"
"199",2000,"Kostroma Oblast",1.3,24,15.2,0.3,0.1,"Central"
"200",2000,"Krasnodar Krai",7,42.6,8.7,1.4,0.3,"Southern"
"201",2000,"Krasnoyarsk Krai",4.7,40.5,14.9,1.6,0.3,"Siberian"
"202",2000,"Republic of Crimea",NA,NA,NA,NA,NA,"Southern"
"203",2000,"Kurgan Oblast",2.9,26.6,13,0.6,0.1,"Ural"
"204",2000,"Kursk Oblast",1.6,33,6.1,0.5,0.1,"Central"
"205",2000,"Leningrad Oblast",3.8,37.7,14.7,1.3,0.3,"Northwestern"
"206",2000,"Lipetsk Oblast",2.3,31.9,9.3,0.7,0.2,"Central"
"207",2000,"Magadan Oblast",4.3,24.6,23.9,1.8,0.2,"Far Eastern"
"208",2000,"Mari El Republic",1.8,21,8.3,0.3,0.1,"Volga"
"209",2000,"Republic of Mordovia",1.4,15.9,10.9,0.3,0.1,"Volga"
"210",2000,"Moscow",6.3,61.8,18.8,3.9,0.6,"Central"
"211",2000,"Moscow Oblast",3.1,22.6,17.2,0.6,0.3,"Central"
"212",2000,"Murmansk Oblast",4.4,29.9,18.8,1.7,0.6,"Northwestern"
"213",2000,"Nenets Autonomous Okrug",5.5,29.3,19.2,0.9,0.5,"Northwestern"
"214",2000,"Nizhny Novgorod Oblast",3.9,27.3,9.7,1,0.1,"Volga"
"215",2000,"Novgorod Oblast",4.6,39.8,12.8,0.4,0.2,"Northwestern"
"216",2000,"Novosibirsk Oblast",2.6,37.3,20.7,1.6,0.2,"Siberian"
"217",2000,"Omsk Oblast",4.6,41.5,10.3,0.6,0.3,"Siberian"
