Comission;Voters;Com_Ballots;Home_Ballots;Home_B_Box;Com_B_Box;Absentee;Invalid;Rodina;Kommunisty_Rossii;Pensionery;United_Russia;Zelenye;Civic_Platform;LDPR;PARNAS;Partiia_Rosta;Civic_Power;YABLOKO;KPRF;Patriots_of_Russia;A_Just_Russia
PEC ¹541;619;101;72;72;101;0;2;0.0116;0.0231;0.0231;0.5607;0.0173;0.0116;0.2254;0.0058;0.0116;0;0.0173;0.0578;0.0058;0.0173
PEC ¹151;275;128;2;2;128;0;2;0.0231;0.0231;0;0.5692;0.0385;0;0.1462;0.0154;0.0077;0;0.0462;0.0615;0.0231;0.0308
PEC ¹171;130;19;48;48;19;0;2;0;0.0597;0;0.5821;0.0149;0;0.1194;0;0;0;0.0597;0.0746;0;0.0597
PEC ¹401;108;30;9;9;30;0;2;0;0.0256;0.0769;0.5897;0;0;0.2051;0;0;0;0;0.0513;0;0
PEC ¹334;643;261;17;17;261;0;2;0.0144;0.0252;0.0432;0.6151;0.0072;0;0.1079;0;0.0396;0;0.0216;0.0647;0.0108;0.0432
PEC ¹440;77;37;4;4;37;0;2;0;0.0244;0.0244;0.6341;0.0244;0;0.1707;0;0;0;0;0.0732;0;0
PEC ¹427;463;122;12;12;122;0;2;0.0075;0.0075;0.0075;0.6716;0;0;0.1418;0;0;0;0.0224;0.1045;0;0.0224
PEC ¹398;100;53;1;1;53;0;3;0.0185;0.0185;0.0185;0.3519;0;0.0185;0.3333;0.0185;0;0;0.0185;0.0556;0.0185;0.0741
PEC ¹263;139;60;2;2;60;0;3;0;0;0;0.3548;0;0;0.1613;0;0.0161;0;0;0.129;0;0.2903
PEC ¹385;150;58;2;2;58;0;3;0;0.0167;0.0167;0.3833;0;0;0.2667;0;0;0;0.0833;0.0667;0.0167;0.1
PEC ¹436;489;147;15;15;147;0;3;0;0.0679;0.0247;0.3951;0.0062;0.0062;0.2222;0;0;0;0.0247;0.1667;0;0.0679
PEC ¹218;307;144;18;18;144;0;3;0.0185;0.0062;0.0123;0.4074;0.0062;0.0062;0.284;0;0.0062;0;0.0247;0.0494;0;0.1605
PEC ¹425;152;47;2;2;47;0;3;0;0.0408;0;0.4082;0;0;0.1633;0.0204;0;0;0.0408;0.2041;0;0.0612
PEC ¹516;338;149;2;2;149;0;3;0.0066;0.0199;0.0265;0.4172;0;0;0.2384;0;0;0;0.0662;0.0861;0.0066;0.1126
PEC ¹400;331;117;12;12;117;0;3;0.0078;0.0465;0.0233;0.4419;0.0078;0;0.2481;0;0.0155;0;0.031;0.1085;0;0.0465
PEC ¹413;948;378;57;57;378;0;3;0.0322;0.023;0.023;0.4437;0.0023;0.0069;0.1701;0;0.0184;0.0046;0.0598;0.131;0.0069;0.0713
PEC ¹327;167;58;4;4;58;0;3;0.0484;0.0323;0.0484;0.4516;0;0;0.1935;0;0;0;0;0.1452;0;0.0323
PEC ¹358;447;139;23;23;139;0;3;0;0.0185;0.0926;0.4568;0;0;0.1358;0.0062;0;0;0.0988;0.0988;0.0062;0.0679
PEC ¹316;218;78;33;33;78;0;3;0;0.018;0.0631;0.4595;0;0;0.2162;0.027;0.009;0;0;0.1351;0;0.045
PEC ¹538;1061;260;29;29;260;0;3;0.0173;0.0484;0.0311;0.4602;0;0;0.2042;0.0035;0.0208;0;0.0173;0.0934;0.0069;0.0865
PEC ¹416;98;31;14;14;31;0;3;0;0.0444;0.0667;0.4889;0;0;0.1778;0;0.0222;0;0;0.1111;0;0.0222
PEC ¹481;311;103;9;36;103;-27;3;0;0.0432;0.0072;0.5036;0;0;0.2446;0;0;0.0072;0.0504;0.0935;0;0.0288
PEC ¹194;273;113;8;8;113;0;3;0.0083;0.0331;0.0331;0.5041;0.0083;0;0.1901;0;0.0248;0;0.0248;0.0826;0;0.0661
PEC ¹201;446;160;44;44;160;0;3;0.0049;0.0196;0.0196;0.5049;0.0049;0;0.2255;0.0049;0;0;0.0098;0.1176;0.0098;0.0637
PEC ¹138;613;160;1;0;160;0;3;0.0063;0.0188;0.0063;0.5063;0.0125;0;0.175;0.0188;0.0125;0;0.0125;0.0875;0;0.125
PEC ¹410;380;128;12;12;128;0;3;0.0214;0.0214;0.0357;0.5214;0.0071;0.0143;0.1714;0.0143;0;0;0.0214;0.0643;0.0143;0.0714
PEC ¹553;395;130;4;4;130;0;3;0;0.0224;0.0224;0.5224;0.0299;0;0.1716;0;0.0149;0;0.0373;0.0522;0.0075;0.097
PEC ¹197;372;94;49;49;94;0;3;0;0.007;0.014;0.5455;0.014;0;0.2517;0;0.007;0;0.028;0.0769;0.014;0.021
PEC ¹537;255;69;23;23;69;0;3;0;0.0217;0;0.5761;0;0.0217;0.1413;0.0109;0;0;0.0217;0.1304;0;0.0435
PEC ¹476;372;103;25;25;103;0;3;0.0078;0.0156;0;0.5781;0;0;0.1563;0;0;0;0.0156;0.1016;0;0.1016
PEC ¹328;160;50;1;0;50;0;3;0;0;0.04;0.7;0;0;0.08;0;0;0;0;0.04;0;0.08
PEC ¹69;1401;509;6;6;508;1;4;0.0428;0.0233;0.0233;0.2568;0.0097;0.0117;0.1479;0.0136;0.0409;0;0.1809;0.1381;0.0195;0.0837
PEC ¹184;707;185;15;15;185;0;4;0.02;0.02;0.04;0.355;0.015;0;0.22;0.01;0.005;0;0.05;0.15;0.015;0.08
PEC ¹345;317;94;2;2;94;0;4;0.0104;0.0208;0.0104;0.3646;0;0;0.2292;0.0313;0.0104;0;0.1042;0.0938;0;0.0833
PEC ¹324;555;223;20;20;223;0;4;0;0.0288;0.0617;0.3786;0;0.0041;0.284;0.0041;0.0165;0;0.0123;0.0905;0.0082;0.0947
PEC ¹246;606;200;5;5;200;0;4;0.0049;0.0244;0.0098;0.3854;0.0049;0;0.1756;0.0098;0.0244;0;0.0439;0.1073;0.0049;0.1854
PEC ¹147;781;206;18;18;206;0;4;0.0089;0.0179;0.0313;0.3929;0.0134;0;0.2098;0.0045;0.0045;0;0.0179;0.0893;0.0179;0.1741
PEC ¹414;190;73;7;7;73;0;4;0.05;0.05;0.0375;0.4375;0.025;0;0.0875;0.025;0;0;0;0.1125;0.025;0.1
PEC ¹307;733;217;41;41;217;0;4;0.0116;0.031;0.0233;0.438;0.0039;0.0155;0.2713;0.0039;0.0039;0.0039;0.0116;0.124;0.0039;0.0388
PEC ¹282;248;50;1;11;50;-11;4;0.0164;0.0328;0.0328;0.4426;0;0;0.0656;0.0164;0;0;0;0.2459;0;0.082
PEC ¹166;306;131;11;11;131;0;4;0.0141;0.0423;0.0211;0.4507;0.0211;0;0.1761;0.007;0;0;0.0211;0.1408;0;0.0775
PEC ¹349;247;102;11;11;102;0;4;0.0088;0.0177;0.0177;0.4513;0.0177;0;0.1858;0.0177;0.0088;0;0.0354;0.0619;0;0.1416
PEC ¹275;629;150;20;20;150;0;4;0.0059;0.0176;0.0176;0.4588;0.0059;0;0.2941;0.0059;0.0059;0;0.0118;0.0882;0.0176;0.0471
PEC ¹355;505;221;10;10;219;2;4;0.0175;0.0393;0.0262;0.4629;0.0131;0;0.1092;0.0044;0.0044;0;0.1397;0.0742;0.0044;0.0873
PEC ¹433;475;194;2;2;194;0;4;0.0204;0.0459;0.0357;0.4643;0;0;0.2296;0;0.0102;0.0051;0.0204;0.0612;0;0.0867
PEC ¹309;213;49;47;47;49;0;4;0.0104;0.0104;0.0417;0.4896;0;0;0.2292;0.0104;0;0;0.0104;0.1042;0;0.0521
PEC ¹192;468;172;13;13;172;0;4;0.0054;0.0324;0.0216;0.4919;0.0054;0.0054;0.2378;0;0.0054;0;0.0162;0.1027;0;0.0541
PEC ¹229;190;78;6;6;78;0;4;0;0.0238;0.0238;0.5;0;0;0.3214;0;0;0;0;0.0476;0.0119;0.0238
PEC ¹173;719;163;35;35;163;0;4;0.0101;0.0404;0.0253;0.5152;0.0051;0;0.101;0;0.0253;0;0.0253;0.1515;0.0051;0.0758
PEC ¹428;217;61;1;0;61;0;4;0;0.0164;0.0328;0.5246;0;0;0.1967;0;0.0164;0;0.0328;0.0328;0.0164;0.0656
PEC ¹203;411;121;33;33;121;0;4;0.0195;0.0325;0.0325;0.526;0;0;0.2078;0.0065;0.0065;0;0.026;0.0455;0;0.0714
PEC ¹280;305;116;11;11;116;0;4;0;0.0315;0.0236;0.5669;0.0079;0;0.1575;0;0;0;0;0.063;0.0157;0.1024
PEC ¹312;304;88;37;37;88;0;4;0.008;0.024;0.008;0.592;0;0;0.152;0.008;0;0;0;0.128;0.024;0.024
PEC ¹311;891;209;117;117;209;0;4;0.0153;0.0184;0.0399;0.592;0;0.0123;0.1166;0.0061;0.0215;0;0.0153;0.092;0.0031;0.0552
PEC ¹332;354;137;9;9;137;0;4;0.0137;0.0068;0.0411;0.5959;0.0068;0.0068;0.1781;0;0.0137;0;0.0137;0.0479;0;0.0479
