Gender;Age;Satisfaction;Participation;Vote;Duma;Violation;Observers;Obs_elections;Trust_Putin;Protest;Education;FO;Region;wes_total_reg
2;25;1;1; ; ;1;1;1;1;2;6;6;89;1.21976283
1;56;1;1;5;9; ;1;2;1;2;2;6;45;0.320236386
2;59;2;1;5; ;1;1;2;1;2;6;4;34;0.578300665
2;58;5;1;5;2;1;1;1;1;1;2;6;66;0.475698934
1;19;2;1; ;9;2;3;2;2; ;4;6;74;2.176827528
1;80;4;1;5;1; ; ;2;1; ;1;6;74;1.03041766
1;50;2;4; ;9; ; ;2;1;2;4;6;74;1.332183367
2;57;3;1;5;1;1;3;2;1;2;2;4;61;1.196995405
1;39;4;1;2;2;2;2;1;2;2;6;4;61;0.714543268
2;53;3;1;5; ;1;1;1;1;2;4;6;66;0.958131279
2;73; ;1; ;6;1; ;2;1;2;4;6;66;0.549346331
2;70;2;1;5;1;1;1;2;1;2;3;6;86;0.549346331
2;18;1;2;5;3;1;1;1;1;1;2;6;45;1.229532252
2;49;3;1;5;1; ; ; ;1;2;4;4;23;1.244324648
1;38;2;1;5;1; ;3;2;1; ;4;6;66;2.02013801
1;62;3;1;2; ; ;3;2;1;1;6;4;61;0.910145519
2;32;1;1; ;1;1;1;2;1;2;6;6;74;1.21976283
1;32;3;1;5;1;3;1;1;1;2;6;6;74;0.52899101
1;29;1;1;5;9;1;1;2;1; ;2;4;61;1.273496875
1;29;3;2; ;2;1;1;2;1;2;4;4;61;0.424498958
1;19;2;1;5;1; ;1;1;1;1;4;4;30;1.196135229
2;26;3;3; ;9;2;1;2; ;2;6;6;72;0.609881415
2;50;1;1;4; ;2;2;2; ;2;6;6;66;0.884125408
2;35;3;1;1;3;1;1;2;1;2;4;4;34;5.140312096
1;19;3;2; ;2;3;2;2;2;1;5;6;74;0.496856172
2;47;3;1;5;7; ;3;1;1;1;6;6;74;0.884125408
2;26;1;1; ; ; ;1;2;2;2;6;6;74;0.609881415
2;58;1;1;5;1;1;1;2;1;2;6;4;61;0.598497702
2;70;2;1;5;1;1;1;2;1;2;2;4;23;0.389858686
1;44;2;1; ;3;1;1;2;1;2;6;6;66;1.429086536
1;22;4;4;1;3; ;1;2;2;2;4;6;86;0.398711743
1;50;4;1;5;1; ;1;1;1;1;2;4;8;0.94655134
1;54;1;1;5;1;3;3;1;1;1;2;4;34;1.460377514
1;32;1;1;5;1;3;1;1;1;2;6;1;11;0.52899101
2;20;1;4; ;9;3;3;2;1; ;4;6;86;1.229532252
2;31;1;5; ;9; ;1;2;1;2;4;1;47;0.919405416
2;65;1;1;5;1;3;1;1;1;2;6;6;74;0.82083749
2;20;5;3;1;9; ;1;2;1;2;5;6;74;1.229532252
1;59;5;1;4; ; ; ;2;2;2;4;1;11;0.532085073
1;37;5;1; ;3;3;2;2; ;1;4;6;45;1.429086536
2;30;1;1; ; ; ;3;3; ;2;6;6;45;0.506670714
1;52;3;1; ; ; ;1; ;1;1;6;4;34;0.94655134
2;33;1;2;5;9;3;1;2;1;2;2;6;66;1.21976283
2;24;1;4; ;1;1;1;2;1;2;6;4;61;1.048500479
2;61;5;1;5;1;2;2;1;1;1;4;1;60;0.539512206
1;30;2;2;4;9; ; ;2;2;1;6;6;72;1.273496875
2;55;1;1;5;1;1;1;2;1;2;6;6;74;1.196995405
2;62;2;1;5;9; ;1;2;1;2;4;6;74;1.196995405
1;64;4;1;5;3;2;3;2;2; ;6;4;23;0.985506458
1;23;2;3; ;9; ;3;2;1;2;4;4;23;1.196135229
2;20;2;1;1;3;1;1;1;2;2;4;6;72;0.873615021
2;59;2;1;5;1;1;1;2;1;2;4;6;74;1.196995405
1;49;4;1; ;2;1;1;2; ;2;4;4;34;6.173414037
2;46;1;1;5;1;1;1;1;1;1;4;1;35;0.893866376
1;57;4;1;2;3;3;2;1;2;1;6;4;61;0.985506458
2;30;1;2;5;9;3;1;2;1;2;6;6;66;1.21976283
1;50;3;1;1;9;1;2;1;1;1;5;1;11;0.666091684
1;56;3;1;5;9; ; ;1;1;2;6;6;86;1.280945545
1;25; ;2; ;9;1;1;1;1;2;1;4;23;1.273496875
2;56;5;5;5;9; ; ;2;1;2;4;6;45;0.850496735
1;28;2;5;2;9;2;2;2;2;2;6;6;72;0.424498958
2;77;2;1;5;1;1;1;2;1;2;4;1;39;1.098692662
2;30;5;1;4; ;3; ;1;2;1;6;1;39;1.21976283
2;18;1;1;5;1;2;1;2;1;2;2;4;61;0.873615021
1;40;3;1;5;3;1;1; ;1;2;2;4;61;2.02013801
2;29;2;2; ; ;3; ;2;2;1;6;1;60;1.21976283
2;25;2;5;5;6; ;1;2;1;1;5;4;34;0.86667359
1;35;5;1;5;9;3;1;2;2; ;4;1;78;0.479986673
1;60;5; ; ; ;2;2;1;2; ;4;1;53;3.426874731
2;75;2;1;5;1;1;1;2;1;2;4;1;78;1.257392713
2;31;1;1;5;1;2;1;2;1;2;6;4;30;1.21976283
2;47;2;4; ;7;2;3;2;1;2;6;1;78;1.096528019
2;25;1;1; ; ;1;1;1;1;2;6;1;35;1.21976283
2;55;4;1; ; ;3;1; ;1;2; ;1;53;0.478787888
2;56;4;1;2;2;3;1;1;2;1;6;1;53;0.351111118
2;50;4;1;5;1;1;1;1;1;2;4;1;39;0.622162324
2;47;3;2; ;6;1;3;2; ;1;4;1;29;0.884125408
1;57;2;1;3;6;2; ;2; ;1;6;1;78;3.921867747
1;71;3;1; ;7;2;1;1;2;1;6;1;78;2.358511532
1;52;4;2; ;9;1;3; ; ;2;3;1;47;0.487674268
2;32;1;2;5; ;1;1;1;1;2;5;1;35;0.609881415
2;47;4;1;5;6;1;1;1;1;1;4;1;29;0.884125408
2;30;1;1;5;2;1;1;2;1;1;6;1;60;0.357973874
2;51;1;1; ; ; ;1;1;1;2;3;1;11;0.788140246
2;48;1;1;5;1;1;1;2;1;2;6;1;78;1.022980408
1;19;1;2; ;9; ;1;1;1;1;5;1;78;1.368910318
1;30;2;1;5;1; ;1;2;1;2;1;1;53;0.636748438
2;75;1;1;5;9;1;1;2;1;2;2;1;47;0.402199992
2;19;1;3;1;3;1;1;2; ;1;5;1;35;0.873615021
2;28;1;1; ; ;1;1;1;1;2;5;1;11;0.773073623
1;66;5;1; ;6;3;1;2; ; ;2;1;53;0.731264145
2;41; ;1;5;9;2;1;1;1;1;4;1;29;1.158676907
2;49;1;1;5;6; ;1;2;1;2;6;1;78;1.011832411
2;18;1;1;5;1;1;2;1; ;2;4;1;39;0.510728781
2;35;2;2;2;2;1;1;1; ;1;6;1;10;1.108694766
1;41;2;1; ;2;3;2;2;1; ;6;1;51;0.593620561
2;69;4;1; ; ;1;3;1; ;2;4;1;78;0.292210983
2;75; ;1;5;7;1;3;1;1;2;4;1;29;0.28775284
2;26;1;2; ;6;2;3;2;2;1;6;1;78;1.43716272
1;41;1;1; ;2;2;1;1;2;1;6;1;78;0.817755073
2;54;5;1; ;6; ;3;2;2;2;4;1;78;1.14596166
1;24;1;2;5;3; ;1;1;1;2;4;1;83;1.166665734
1;26;1;2;5;9;3;1;2;1;2;2;1;60;0.904853043
2;71;2;1;2;2;2;2;1;2;1;4;1;11;0.82083749
2;52;3;1; ; ;1;1;1;1;1;6;1;47;0.577031251
1;22;2;1; ; ;1;1;1; ;1;5;1;78;2.670368235
1;25;1;2; ;9;2;1;2;1;1;2;1;78;0.485815475
1;50;4;1;3;6;1;3;1;2;1;6;1;51;0.956444428
2;55;1;1;5;9;3;2;2;1;2;2;1;78;0.973346263
2;65;3;1;3;6; ; ;1; ;1;2;1;47;0.173498036
1;45;2;1;5;9;3; ;2;1;1;4;1;11;1.332183367
2;18; ;1;4;7;2;1;2;2;1;4;1;78;0.999803857
2;37; ;1;5;1;1;1;1;1;2;2;1;10;1.244497385
2;55;2;2; ;2;1;1;2;1;2;6;1;10;0.850496735
1;24;1;1;5;9;1;1;1;1;2;2;1;10;0.598067615
1;55;2;1; ; ;3;3;2; ;2;6;1;78;1.465971013
1;29;5;1;2;2;3;1;1;2;1;6;1;39;0.904853043
1;60;2;1; ; ; ;3;2;1;2;6;1;78;1.05220842
2;55;2;1;5; ;1;1; ;1;2;6;1;60;0.475698934
2;48;1;1; ; ;1;1;1; ;1;4;1;29;0.884125408
2;27;4;5;5;9;1;1; ;1;2;6;1;47;0.634528878
1;30;4; ; ;8;3;2;1;1;1;4;1;78;0.605400822
1;52;2;2;2;2; ;3;2; ;2;4;1;29;1.332183367
2;60;2;1;5;2; ;1;1;1;2;6;1;60;0.539512206
2;70;4;1; ;6; ;1;1;1;2;4;1;35;0.28775284
1;75; ;1; ;2; ; ;2; ;2;3;1;39;2.060835319
2;65;2;1;5;9;1;1;1;1;2;2;1;60;0.549346331
1;28;4;1;4;9;1;1;2;1;1;2;1;35;2.534159465
